test_num,spray_height,feed_mm_min,feed_mm_sec,fluid_psi,air_psi,needle,coat_dia,thick_mean,thick_sd,,
3911,12.5,2000,33.33333333,15,15,24,0.62992126,2.886,0.309321839,,
3912,12.5,4000,66.66666667,15,15,24,0.413385827,2.343333333,0.158219257,,
3913,12.5,6000,100,15,15,24,0.31496063,2.264,0.103101891,,
3914,12.5,9000,150,15,15,24,0.196850394,2.0235,0.120555658,,
5311,12.5,2000,33.33333333,30,15,24,0.984251969,6.01,0.551089829,,
5312,12.5,4000,66.66666667,30,15,24,0.669291339,4.363333333,0.115902258,,
5313,12.5,6000,100,30,15,24,0.551181102,3.556666667,0.119303534,,
5314,12.5,9000,150,30,15,24,0.393700787,3.17,0.103923048,,
6311,12.5,2000,33.33333333,45,12,12,0.669291339,2.803333333,0.298719489,,
6312,12.5,4000,66.66666667,45,12,12,0.393700787,2.26,0.325115364,,
6313,12.5,6000,100,45,12,12,0.275590551,2.037666667,0.148109194,,
6314,12.5,9000,150,45,12,12,0.216535433,2.19,0.185202592,,
6411,12.5,2000,33.33333333,45,15,12,0.669291339,2.4,0.213775583,,
6412,12.5,4000,66.66666667,45,15,12,0.433070866,1.959,0.193082884,,
6413,12.5,6000,100,45,15,12,0.31496063,1.9715,0.217532373,,
6414,12.5,9000,150,45,15,12,0.157480315,1.85,0.122882057,,
6911,12.5,2000,33.33333333,45,15,18,0.905511811,4.18,0.294618397,,
6912,12.5,4000,66.66666667,45,15,18,0.62992126,3.02,0.216564078,,
6913,12.5,6000,100,45,15,18,0.472440945,2.593333333,0.177857621,,
6914,12.5,9000,150,45,15,18,0.354330709,2.546666667,0.110151411,,
7311,12.5,2000,33.33333333,45,12,24,0.984251969,8.806666667,0.681493458,,
7312,12.5,4000,66.66666667,45,12,24,0.62992126,6.573333333,0.546015873,,
7313,12.5,6000,100,45,12,24,0.511811024,6.25,0.259422435,,
7314,12.5,9000,150,45,12,24,0.393700787,5.74,0.32176596,,
7411,12.5,2000,33.33333333,45,15,24,1.062992126,8.733333333,0.589689184,,
7412,12.5,4000,66.66666667,45,15,24,0.692913386,5.366666667,0.617764788,,
7413,12.5,6000,100,45,15,24,#VALUE!,4.876666667,0.247049253,,
7414,12.5,9000,150,45,15,24,0.417322835,4.573333333,0.240069434,,
